Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9
237,462,797,766,755,988,481,829,626,408
777,831,469,259,292,885,118,703,194,802
432,409,841,407,238,629,229,404,457,225
387,355,360,788,516,577,12,283,360,270
514,473,251,194,115,952,818,885,501,179
168,270,63,858,458,834,20,829,677,115
410,703,151,468,218,173,802,729,242,184
868,324,773,606,751,61,148,897,668,288
110,673,794,569,32,607,663,455,306,931
218,215,150,800,814,455,844,515,668,648
414,96,760,769,491,109,379,853,77,896
336,782,137,533,172,459,986,664,878,130
747,950,462,25,571,234,101,895,743,593
267,998,158,26,721,189,747,789,643,530
275,925,395,969,311,500,641,24,402,601
134,136,818,692,155,502,193,412,586,540
315,141,714,445,465,69,295,928,572,858
495,337,264,620,890,735,556,375,268,558
396,502,633,438,852,87,46,792,884,173
650,942,280,988,833,205,770,152,846,933
642,705,814,17,79,37,600,603,159,650
198,665,366,564,523,235,505,153,332,451
785,615,443,570,758,331,608,541,119,441
234,520,908,13,333,578,706,474,585,22
442,144,863,21,368,394,546,394,762,834
606,838,448,878,440,480,695,434,894,448
218,893,843,245,28,71,913,560,33,548
293,510,622,343,564,552,614,573,834,825
876,350,195,228,534,705,502,97,922,89
872,927,498,57,195,478,41,22,279,13
879,27,386,234,152,401,117,557,976,777
747,213,24,117,274,676,893,520,264,510
37,699,571,298,899,808,801,751,154,485
488,259,571,384,194,577,726,299,372,625
379,695,845,74,863,740,521,455,561,764
56,913,642,979,201,820,462,14,392,56
852,546,478,453,855,507,390,308,913,261
768,81,306,420,243,869,787,856,716,746
892,296,855,368,270,980,769,354,72,746
565,703,190,372,466,210,858,203,253,180
646,474,544,838,801,93,228,417,296,771
809,33,137,186,845,734,958,17,550,953
720,412,857,52,989,746,309,435,21,917
342,574,542,188,770,105,718,540,602,730
963,652,289,137,462,968,489,780,600,779
295,865,276,363,51,233,888,87,246,375
345,95,752,775,463,583,600,46,313,924
464,272,955,738,743,21,280,702,757,766
447,814,654,134,765,695,841,182,834,10
212,671,871,403,551,218,381,472,971,265
535,410,376,918,602,271,477,781,989,101
181,702,288,975,277,253,121,272,816,514
320,794,852,890,146,984,254,42,845,138
254,26,359,857,300,95,18,555,487,786
239,353,339,89,570,482,514,957,969,272
974,845,344,588,139,915,136,774,316,258
822,86,269,537,439,841,460,492,335,618
964,448,657,411,528,512,316,242,440,196
56,223,209,142,94,628,71,727,334,271
182,173,944,587,726,251,200,604,163,721
124,583,195,614,731,306,715,323,139,918
999,246,258,399,753,634,912,284,664,144
382,725,497,51,496,571,57,608,724,753
542,420,160,66,125,51,199,20,126,52
721,295,44,284,308,802,394,687,416,449
157,808,516,938,63,729,539,206,603,94
406,240,707,471,404,384,29,224,205,999
894,349,872,111,76,589,373,891,500,446
912,95,746,184,994,101,711,706,416,126
387,375,288,105,505,504,960,250,315,320
389,315,120,827,347,166,868,482,102,320
859,725,157,845,516,614,183,684,228,631
116,184,620,383,533,540,367,86,746,289
900,167,181,349,390,85,60,939,824,436
533,148,225,857,354,819,557,554,736,505
26,958,453,255,422,17,87,657,627,205
957,847,420,22,644,781,837,311,923,142
482,357,713,881,511,750,343,510,918,225
941,752,210,211,655,160,380,825,560,663
620,246,938,219,132,560,72,897,408,497
527,861,832,218,824,967,946,666,894,710
735,531,764,611,125,63,319,143,66,528
35,558,550,384,191,348,755,816,943,164
122,409,906,386,281,794,234,598,279,131
954,389,169,124,70,914,265,590,159,277
198,821,172,680,188,565,344,82,26,423
513,519,552,815,468,688,864,939,495,646
152,996,349,846,98,847,54,232,429,907
888,758,52,878,911,806,201,179,508,833
974,739,615,575,302,110,710,962,765,871
469,437,291,209,15,409,625,123,129,130
850,130,413,904,750,786,244,518,348,321
454,629,19,974,944,48,943,225,982,917
163,645,646,36,485,23,946,558,336,119
729,732,292,538,598,325,220,398,938,152
56,947,927,502,692,778,341,354,721,19
990,561,12,692,165,933,34,584,502,34
141,867,437,224,970,529,239,215,876,890
421,667,593,60,69,44,713,953,947,367
392,627,621,168,546,176,526,363,648,460
975,960,983,810,119,884,654,495,574,252
116,907,319,314,361,520,365,824,800,306
221,729,485,442,41,124,85,128,405,496
56,785,855,933,700,597,72,229,48,404
870,418,340,10,794,129,719,247,707,283
165,879,679,665,130,31,190,316,379,57
428,459,883,577,774,639,515,839,858,630
918,749,660,648,567,290,395,911,897,454
832,840,146,71,751,468,617,397,805,776
462,685,74,409,623,805,385,528,483,652
941,43,661,364,425,836,612,615,963,644
224,512,647,195,959,988,171,334,31,400
100,19,775,47,70,730,111,386,620,147
119,59,535,695,804,425,217,233,900,168
592,52,141,996,440,323,622,833,326,269
663,293,291,256,657,439,914,415,730,702
71,62,86,899,934,844,760,151,414,151
696,960,211,344,76,322,846,623,499,862
997,405,980,861,342,743,289,854,839,857
890,539,190,269,241,158,873,58,629,792
720,682,123,948,53,968,335,349,708,472
450,243,482,777,541,85,715,494,626,163
956,937,690,125,542,372,770,772,679,47
490,612,161,179,298,313,245,143,986,360
464,593,985,93,475,490,39,593,392,480
386,289,52,818,397,399,984,423,470,753
821,504,931,590,428,708,486,907,476,541
287,441,951,875,71,886,866,888,690,442
639,984,688,24,167,947,11,463,247,495
668,988,119,758,519,589,237,516,394,73
417,463,70,872,320,720,162,600,670,537
433,810,237,603,633,624,541,777,974,420
259,500,169,676,847,536,944,694,846,313
778,151,121,59,235,563,952,153,829,193
413,614,947,571,166,429,454,875,823,461
265,200,754,169,124,501,359,431,93,743
428,695,953,33,253,328,66,941,269,180
782,314,215,799,573,938,858,380,866,850
250,175,718,555,68,237,515,101,458,641
900,637,412,53,357,89,531,659,749,517
491,921,951,89,467,756,830,968,937,452
292,49,665,559,25,847,734,885,619,263
997,796,82,443,306,611,812,215,484,217
736,831,417,780,501,858,743,346,791,847
392,687,334,729,356,359,506,166,624,383
108,232,223,786,103,46,878,68,824,392
993,214,76,993,470,674,750,289,818,513
655,547,404,451,880,695,965,595,397,669
982,162,638,989,403,355,201,669,220,866
979,239,634,22,281,189,512,866,45,51
784,696,383,377,670,753,78,475,508,11
405,870,674,726,62,11,495,996,507,521
759,893,180,653,571,360,719,728,528,443
217,956,976,31,755,886,53,55,750,706
319,501,256,669,934,460,352,835,842,631
906,13,85,872,153,643,870,65,622,791
80,489,642,706,84,656,882,247,354,621
500,536,927,380,668,771,569,556,301,73
65,317,798,792,775,816,35,825,843,745
425,961,211,140,712,565,661,484,777,155
107,338,48,30,842,559,302,123,33,575
512,563,391,969,435,42,548,659,581,989
72,852,966,693,158,197,761,964,758,69
22,287,324,522,872,434,133,500,177,774
311,728,463,929,391,209,968,135,753,361
544,681,867,357,264,150,495,212,432,504
416,31,169,699,358,849,965,131,11,240
631,183,106,936,940,109,181,813,399,419
980,634,444,253,960,278,645,598,905,694
738,498,400,99,611,196,842,942,56,241
275,22,754,161,11,811,883,43,455,454
198,133,924,22,977,873,573,744,500,826
345,922,226,278,509,902,594,171,453,722
913,959,996,589,45,948,236,670,964,975
135,943,740,683,661,686,845,528,652,903
308,968,437,82,964,71,201,340,927,482
574,493,291,898,70,926,481,86,344,340
839,261,143,947,179,107,269,934,291,265
102,762,726,90,822,91,442,206,483,910
580,972,491,189,996,807,88,331,411,668
848,631,379,939,347,746,380,890,921,327
726,88,137,465,389,412,296,876,267,336
467,725,776,854,39,697,170,143,560,192
500,792,627,96,595,627,890,556,236,970
67,613,637,137,872,419,48,990,906,362
347,955,889,478,314,373,398,507,597,710
539,250,90,534,561,98,355,726,407,464
310,778,268,206,356,300,25,62,838,253
658,571,905,129,492,108,212,51,50,419
303,774,258,825,660,29,111,242,433,262
907,731,506,774,212,584,725,61,506,819
559,802,883,814,496,561,111,163,323,686
432,401,576,452,133,12,308,950,32,143
874,698,911,730,972,102,474,900,114,229
