Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9
137,786,392,415,942,500,823,22,125,600
109,975,180,320,954,401,352,852,950,161
552,779,389,161,483,149,257,945,639,475
461,574,68,723,98,358,258,148,334,59
254,747,492,107,490,734,370,196,265,334
798,685,109,936,963,814,814,178,62,191
29,935,282,452,464,524,963,142,482,174
408,854,550,782,980,624,940,430,858,884
225,150,104,239,32,63,68,884,905,801
544,683,62,254,995,478,295,708,320,785
455,75,697,555,280,178,697,49,574,718
370,425,582,329,186,534,383,394,991,664
249,510,332,987,573,378,53,249,426,467
680,845,434,469,937,565,757,108,611,249
271,190,907,904,525,280,895,620,739,592
110,441,773,59,286,555,752,99,130,27
621,584,109,592,734,582,483,651,355,485
29,727,208,213,647,911,193,931,596,433
961,855,627,102,756,878,207,471,272,531
881,932,729,566,397,388,392,275,200,458
799,619,334,594,340,775,878,327,613,854
348,577,963,833,998,461,522,465,773,778
909,920,420,603,366,911,734,380,319,809
768,483,964,861,672,713,152,251,641,17
737,825,305,426,955,293,877,23,266,123
520,709,970,327,344,528,951,210,955,146
524,266,321,973,694,346,497,890,626,871
662,83,258,815,883,226,731,188,503,248
302,510,774,204,211,189,612,517,408,963
956,740,204,575,435,252,947,391,393,775
302,659,516,339,747,177,273,812,872,702
104,995,318,92,590,262,304,490,222,347
897,165,135,22,561,694,783,499,218,650
740,729,939,517,885,650,232,331,596,506
607,425,861,224,460,203,271,43,248,870
858,267,975,614,171,257,648,284,115,425
284,600,564,907,71,485,249,941,488,453
591,289,416,698,871,415,345,804,603,893
192,916,148,700,543,812,12,132,282,110
579,91,847,140,839,337,299,481,539,167
203,89,722,363,217,320,256,973,979,697
553,828,51,747,851,394,529,470,837,764
569,210,449,511,197,158,345,472,127,590
443,811,199,919,582,569,687,299,882,167
600,388,610,917,553,738,429,665,910,894
285,578,445,392,643,131,95,775,726,957
167,395,349,307,580,45,989,108,942,47
596,524,897,480,611,960,372,934,915,121
312,813,285,219,483,600,402,885,155,57
492,870,39,442,920,636,290,553,58,983
105,714,13,527,999,540,909,834,557,638
87,684,211,799,946,251,936,809,711,11
701,267,759,217,774,640,938,939,955,883
686,516,910,107,527,850,743,777,366,182
834,354,941,674,221,466,194,623,287,297
372,812,818,712,493,428,815,209,232,105
347,43,627,484,548,49,235,685,183,223
822,406,194,466,616,709,139,847,914,212
409,278,598,986,771,920,694,636,667,248
420,620,513,501,116,956,460,436,954,333
100,371,547,56,164,715,125,877,429,722
124,476,819,943,189,652,104,368,151,626
362,537,103,593,281,963,790,345,614,231
326,207,413,485,166,393,371,89,149,731
87,831,757,705,381,449,30,750,742,549
408,103,720,197,116,840,183,739,721,10
413,976,100,984,669,383,686,400,148,581
616,472,193,892,547,836,791,557,520,760
900,518,646,934,184,763,148,712,227,937
845,34,463,947,825,643,294,198,320,504
493,452,923,254,79,323,115,213,416,950
597,938,216,566,730,926,934,971,106,170
303,734,931,184,373,352,521,132,373,455
81,848,828,892,730,941,528,537,417,141
584,476,581,490,405,536,649,499,111,216
411,372,763,305,213,432,255,149,770,665
539,922,541,437,325,835,818,852,738,245
932,474,98,123,716,17,707,390,458,242
456,606,231,307,991,813,382,302,388,157
956,744,199,500,196,932,99,593,230,532
767,806,445,474,27,999,18,55,929,488
155,235,260,801,246,611,425,126,852,472
608,488,933,480,283,229,790,854,673,259
407,450,30,985,94,250,679,376,877,272
598,100,227,903,36,268,458,709,369,184
333,447,445,834,404,545,510,944,285,931
119,441,660,474,979,832,699,257,580,438
868,17,986,868,727,801,978,260,616,178
624,370,196,210,971,416,588,403,469,809
77,381,559,162,516,338,994,674,47,492
786,610,513,382,714,815,100,811,798,223
